make,model,model_year,incident_year,fatal_crash_count,occupant_death_count,total_incident_count,claim_count,incident_source,incident_quality_flag,crss_weight
Toyota,RAV4,2020,2022,4,4,,,synthetic,low,
Toyota,RAV4,2020,2023,5,6,,,synthetic,low,
Toyota,RAV4,2020,2024,4,5,,,synthetic,low,
Toyota,RAV4,2020,2025,2,2,,,synthetic,low,
Toyota,Highlander,2010,2011,3,3,,,synthetic,low,
Toyota,Highlander,2010,2012,4,5,,,synthetic,low,
Toyota,Highlander,2010,2013,3,4,,,synthetic,low,
Toyota,Highlander,2010,2014,3,4,,,synthetic,low,
Toyota,Highlander,2010,2015,6,8,,,synthetic,low,
Toyota,Highlander,2015,2016,10,13,,,synthetic,low,
Toyota,Highlander,2015,2017,5,5,,,synthetic,low,
Toyota,Highlander,2015,2018,7,9,,,synthetic,low,
Toyota,Highlander,2015,2019,8,10,,,synthetic,low,
Toyota,Highlander,2015,2020,1,1,,,synthetic,low,
Toyota,Highlander,2020,2021,6,7,,,synthetic,low,
Toyota,Highlander,2020,2022,7,9,,,synthetic,low,
Toyota,Highlander,2020,2023,5,5,,,synthetic,low,
Toyota,Highlander,2020,2024,5,7,,,synthetic,low,
Toyota,Highlander,2020,2025,3,4,,,synthetic,low,
Toyota,Tacoma,2010,2011,7,8,,,synthetic,low,
Toyota,Tacoma,2010,2012,7,9,,,synthetic,low,
Toyota,Tacoma,2010,2013,6,6,,,synthetic,low,
Toyota,Tacoma,2010,2014,6,7,,,synthetic,low,
Toyota,Tacoma,2010,2015,3,4,,,synthetic,low,
Toyota,Tacoma,2015,2016,5,6,,,synthetic,low,
Toyota,Tacoma,2015,2017,5,6,,,synthetic,low,
Toyota,Tacoma,2015,2018,5,6,,,synthetic,low,
Toyota,Tacoma,2015,2019,3,4,,,synthetic,low,
Toyota,Tacoma,2015,2020,3,3,,,synthetic,low,
Toyota,Tacoma,2020,2021,7,10,,,synthetic,low,
Toyota,Tacoma,2020,2022,6,7,,,synthetic,low,
Toyota,Tacoma,2020,2023,0,0,,,synthetic,low,
Toyota,Tacoma,2020,2024,3,3,,,synthetic,low,
Toyota,Tacoma,2020,2025,6,7,,,synthetic,low,
Honda,Accord,2005,2006,6,8,,,synthetic,low,
Honda,Accord,2005,2007,4,5,,,synthetic,low,
Honda,Accord,2005,2008,4,4,,,synthetic,low,
Honda,Accord,2005,2009,0,0,,,synthetic,low,
Honda,Accord,2005,2010,3,4,,,synthetic,low,
Honda,Accord,2010,2011,6,8,,,synthetic,low,
Honda,Accord,2010,2012,4,5,,,synthetic,low,
Honda,Accord,2010,2013,4,4,,,synthetic,low,
Honda,Accord,2010,2014,3,4,,,synthetic,low,
Honda,Accord,2010,2015,3,3,,,synthetic,low,
Honda,Accord,2015,2016,6,7,,,synthetic,low,
Honda,Accord,2015,2017,4,4,,,synthetic,low,
Honda,Accord,2015,2018,4,5,,,synthetic,low,
Honda,Accord,2015,2019,1,1,,,synthetic,low,
Honda,Accord,2015,2020,4,4,,,synthetic,low,
Honda,Accord,2020,2021,5,5,,,synthetic,low,
Honda,Accord,2020,2022,4,6,,,synthetic,low,
Honda,Accord,2020,2023,5,7,,,synthetic,low,
Honda,Accord,2020,2024,1,1,,,synthetic,low,
Honda,Accord,2020,2025,3,3,,,synthetic,low,
Honda,Civic,2005,2006,6,7,,,synthetic,low,
Honda,Civic,2005,2007,4,5,,,synthetic,low,
Honda,Civic,2005,2008,4,5,,,synthetic,low,
Honda,Civic,2005,2009,7,8,,,synthetic,low,
Honda,Civic,2005,2010,2,3,,,synthetic,low,
Honda,Civic,2010,2011,6,7,,,synthetic,low,
Honda,Civic,2010,2012,3,4,,,synthetic,low,
Honda,Civic,2010,2013,5,5,,,synthetic,low,
Honda,Civic,2010,2014,4,5,,,synthetic,low,
Honda,Civic,2010,2015,3,3,,,synthetic,low,
Honda,Civic,2015,2016,2,3,,,synthetic,low,
Honda,Civic,2015,2017,0,0,,,synthetic,low,
Honda,Civic,2015,2018,7,9,,,synthetic,low,
Honda,Civic,2015,2019,7,9,,,synthetic,low,
Honda,Civic,2015,2020,4,4,,,synthetic,low,
Honda,Civic,2020,2021,5,6,,,synthetic,low,
Honda,Civic,2020,2022,4,5,,,synthetic,low,
Honda,Civic,2020,2023,5,5,,,synthetic,low,
Honda,Civic,2020,2024,2,2,,,synthetic,low,
Honda,Civic,2020,2025,1,1,,,synthetic,low,
Honda,CR-V,2010,2011,2,2,,,synthetic,low,
Honda,CR-V,2010,2012,7,9,,,synthetic,low,
Honda,CR-V,2010,2013,5,7,,,synthetic,low,
Honda,CR-V,2010,2014,5,6,,,synthetic,low,
Honda,CR-V,2010,2015,3,4,,,synthetic,low,
Honda,CR-V,2015,2016,6,8,,,synthetic,low,
Honda,CR-V,2015,2017,6,8,,,synthetic,low,
Honda,CR-V,2015,2018,6,7,,,synthetic,low,
Honda,CR-V,2015,2019,3,4,,,synthetic,low,
Honda,CR-V,2015,2020,2,2,,,synthetic,low,
Honda,CR-V,2020,2021,7,10,,,synthetic,low,
Honda,CR-V,2020,2022,6,7,,,synthetic,low,
Honda,CR-V,2020,2023,2,2,,,synthetic,low,
Honda,CR-V,2020,2024,5,5,,,synthetic,low,
Honda,CR-V,2020,2025,1,1,,,synthetic,low,
Ford,F-150,2005,2006,15,20,,,synthetic,low,
Ford,F-150,2005,2007,8,11,,,synthetic,low,
Ford,F-150,2005,2008,10,11,,,synthetic,low,
Ford,F-150,2005,2009,10,11,,,synthetic,low,
Ford,F-150,2005,2010,9,10,,,synthetic,low,
Ford,F-150,2010,2011,10,11,,,synthetic,low,
Ford,F-150,2010,2012,12,15,,,synthetic,low,
Ford,F-150,2010,2013,9,10,,,synthetic,low,
Ford,F-150,2010,2014,5,7,,,synthetic,low,
Ford,F-150,2010,2015,4,5,,,synthetic,low,
Ford,F-150,2015,2016,12,16,,,synthetic,low,
Ford,F-150,2015,2017,9,11,,,synthetic,low,
Ford,F-150,2015,2018,5,6,,,synthetic,low,
Ford,F-150,2015,2019,8,9,,,synthetic,low,
Ford,F-150,2015,2020,4,4,,,synthetic,low,
Ford,F-150,2020,2021,9,9,,,synthetic,low,
Ford,F-150,2020,2022,2,3,,,synthetic,low,
Ford,F-150,2020,2023,12,16,,,synthetic,low,
Ford,F-150,2020,2024,6,8,,,synthetic,low,
Ford,F-150,2020,2025,3,4,,,synthetic,low,
Ford,Explorer,2005,2006,13,14,,,synthetic,low,
Ford,Explorer,2005,2007,11,15,,,synthetic,low,
Ford,Explorer,2005,2008,10,12,,,synthetic,low,
Ford,Explorer,2005,2009,9,9,,,synthetic,low,
Ford,Explorer,2005,2010,5,6,,,synthetic,low,
Ford,Explorer,2010,2011,16,18,,,synthetic,low,
Ford,Explorer,2010,2012,12,14,,,synthetic,low,
Ford,Explorer,2010,2013,8,9,,,synthetic,low,
Ford,Explorer,2010,2014,10,13,,,synthetic,low,
Ford,Explorer,2010,2015,8,11,,,synthetic,low,
Ford,Explorer,2015,2016,11,15,,,synthetic,low,
Ford,Explorer,2015,2017,7,10,,,synthetic,low,
Ford,Explorer,2015,2018,13,14,,,synthetic,low,
Ford,Explorer,2015,2019,7,8,,,synthetic,low,
Ford,Explorer,2015,2020,7,8,,,synthetic,low,
Ford,Explorer,2020,2021,12,15,,,synthetic,low,
Ford,Explorer,2020,2022,3,3,,,synthetic,low,
Ford,Explorer,2020,2023,6,6,,,synthetic,low,
Ford,Explorer,2020,2024,8,11,,,synthetic,low,
Ford,Explorer,2020,2025,9,10,,,synthetic,low,
Ford,Mustang,2005,2006,8,9,,,synthetic,low,
Ford,Mustang,2005,2007,12,13,,,synthetic,low,
Ford,Mustang,2005,2008,11,14,,,synthetic,low,
Ford,Mustang,2005,2009,9,10,,,synthetic,low,
Ford,Mustang,2005,2010,1,1,,,synthetic,low,
Ford,Mustang,2010,2011,10,13,,,synthetic,low,
Ford,Mustang,2010,2012,12,13,,,synthetic,low,
Ford,Mustang,2010,2013,9,9,,,synthetic,low,
Ford,Mustang,2010,2014,9,11,,,synthetic,low,
Ford,Mustang,2010,2015,11,14,,,synthetic,low,
Ford,Mustang,2015,2016,16,19,,,synthetic,low,
Ford,Mustang,2015,2017,7,8,,,synthetic,low,
Ford,Mustang,2015,2018,9,12,,,synthetic,low,
Ford,Mustang,2015,2019,9,11,,,synthetic,low,
Ford,Mustang,2015,2020,8,10,,,synthetic,low,
Ford,Mustang,2020,2021,10,13,,,synthetic,low,
Ford,Mustang,2020,2022,14,18,,,synthetic,low,
Ford,Mustang,2020,2023,5,6,,,synthetic,low,
Ford,Mustang,2020,2024,9,11,,,synthetic,low,
Ford,Mustang,2020,2025,6,8,,,synthetic,low,
Chevrolet,Silverado 1500,2005,2006,6,8,,,synthetic,low,
Chevrolet,Silverado 1500,2005,2007,14,15,,,synthetic,low,
Chevrolet,Silverado 1500,2005,2008,11,13,,,synthetic,low,
Chevrolet,Silverado 1500,2005,2009,14,16,,,synthetic,low,
Chevrolet,Silverado 1500,2005,2010,8,8,,,synthetic,low,
Chevrolet,Silverado 1500,2010,2011,7,7,,,synthetic,low,
Chevrolet,Silverado 1500,2010,2012,11,14,,,synthetic,low,
Chevrolet,Silverado 1500,2010,2013,1,1,,,synthetic,low,
Chevrolet,Silverado 1500,2010,2014,6,8,,,synthetic,low,
Chevrolet,Silverado 1500,2010,2015,12,14,,,synthetic,low,
Chevrolet,Silverado 1500,2015,2016,6,7,,,synthetic,low,
Chevrolet,Silverado 1500,2015,2017,14,18,,,synthetic,low,
Chevrolet,Silverado 1500,2015,2018,4,4,,,synthetic,low,
Chevrolet,Silverado 1500,2015,2019,10,12,,,synthetic,low,
Chevrolet,Silverado 1500,2015,2020,6,7,,,synthetic,low,
Chevrolet,Silverado 1500,2020,2021,7,9,,,synthetic,low,
Chevrolet,Silverado 1500,2020,2022,4,4,,,synthetic,low,
Chevrolet,Silverado 1500,2020,2023,3,4,,,synthetic,low,
Chevrolet,Silverado 1500,2020,2024,4,4,,,synthetic,low,
Chevrolet,Silverado 1500,2020,2025,7,8,,,synthetic,low,
Chevrolet,Malibu,2010,2011,3,3,,,synthetic,low,
Chevrolet,Malibu,2010,2012,7,8,,,synthetic,low,
Chevrolet,Malibu,2010,2013,1,1,,,synthetic,low,
Chevrolet,Malibu,2010,2014,2,2,,,synthetic,low,
Chevrolet,Malibu,2010,2015,11,12,,,synthetic,low,
Chevrolet,Malibu,2015,2016,7,9,,,synthetic,low,
Chevrolet,Malibu,2015,2017,12,15,,,synthetic,low,
Chevrolet,Malibu,2015,2018,5,7,,,synthetic,low,
Chevrolet,Malibu,2015,2019,10,10,,,synthetic,low,
Chevrolet,Malibu,2015,2020,4,4,,,synthetic,low,
Chevrolet,Malibu,2020,2021,13,17,,,synthetic,low,
Chevrolet,Malibu,2020,2022,2,2,,,synthetic,low,
Chevrolet,Malibu,2020,2023,0,0,,,synthetic,low,
Chevrolet,Malibu,2020,2024,8,9,,,synthetic,low,
Chevrolet,Malibu,2020,2025,5,6,,,synthetic,low,
GMC,Sierra 1500,2010,2011,8,8,,,synthetic,low,
GMC,Sierra 1500,2010,2012,5,6,,,synthetic,low,
GMC,Sierra 1500,2010,2013,5,5,,,synthetic,low,
GMC,Sierra 1500,2010,2014,7,9,,,synthetic,low,
GMC,Sierra 1500,2010,2015,5,7,,,synthetic,low,
GMC,Sierra 1500,2015,2016,4,5,,,synthetic,low,
GMC,Sierra 1500,2015,2017,3,4,,,synthetic,low,
GMC,Sierra 1500,2015,2018,4,5,,,synthetic,low,
GMC,Sierra 1500,2015,2019,0,0,,,synthetic,low,
GMC,Sierra 1500,2015,2020,4,5,,,synthetic,low,
GMC,Sierra 1500,2020,2021,4,4,,,synthetic,low,
GMC,Sierra 1500,2020,2022,1,1,,,synthetic,low,
GMC,Sierra 1500,2020,2023,2,3,,,synthetic,low,
GMC,Sierra 1500,2020,2024,5,6,,,synthetic,low,
GMC,Sierra 1500,2020,2025,3,3,,,synthetic,low,
Honda,Pilot,2010,2011,8,9,,,synthetic,low,
Honda,Pilot,2010,2012,0,0,,,synthetic,low,
Honda,Pilot,2010,2013,7,9,,,synthetic,low,
Honda,Pilot,2010,2014,5,6,,,synthetic,low,
Honda,Pilot,2010,2015,6,8,,,synthetic,low,
Honda,Pilot,2015,2016,7,9,,,synthetic,low,
Honda,Pilot,2015,2017,5,6,,,synthetic,low,
Honda,Pilot,2015,2018,1,1,,,synthetic,low,
Honda,Pilot,2015,2019,2,2,,,synthetic,low,
Honda,Pilot,2015,2020,4,5,,,synthetic,low,
Honda,Pilot,2020,2021,7,9,,,synthetic,low,
Honda,Pilot,2020,2022,3,3,,,synthetic,low,
Honda,Pilot,2020,2023,2,2,,,synthetic,low,
Honda,Pilot,2020,2024,2,3,,,synthetic,low,
Honda,Pilot,2020,2025,2,2,,,synthetic,low,
Subaru,Outback,2010,2011,3,4,,,synthetic,low,
Subaru,Outback,2010,2012,0,0,,,synthetic,low,
Subaru,Outback,2010,2013,0,0,,,synthetic,low,
Subaru,Outback,2010,2014,0,0,,,synthetic,low,
Subaru,Outback,2010,2015,2,2,,,synthetic,low,
Subaru,Outback,2015,2016,3,4,,,synthetic,low,
Subaru,Outback,2015,2017,1,1,,,synthetic,low,
Subaru,Outback,2015,2018,0,0,,,synthetic,low,
Subaru,Outback,2015,2019,1,1,,,synthetic,low,
Subaru,Outback,2015,2020,2,2,,,synthetic,low,
Subaru,Outback,2020,2021,3,3,,,synthetic,low,
Subaru,Outback,2020,2022,0,0,,,synthetic,low,
Subaru,Outback,2020,2023,1,1,,,synthetic,low,
Subaru,Outback,2020,2024,2,2,,,synthetic,low,
Subaru,Outback,2020,2025,0,0,,,synthetic,low,
Subaru,Forester,2010,2011,1,1,,,synthetic,low,
Subaru,Forester,2010,2012,4,5,,,synthetic,low,
Subaru,Forester,2010,2013,2,2,,,synthetic,low,
Subaru,Forester,2010,2014,0,0,,,synthetic,low,
Subaru,Forester,2010,2015,1,1,,,synthetic,low,
Subaru,Forester,2015,2016,3,3,,,synthetic,low,
Subaru,Forester,2015,2017,2,3,,,synthetic,low,
Subaru,Forester,2015,2018,1,1,,,synthetic,low,
Subaru,Forester,2015,2019,2,3,,,synthetic,low,
Subaru,Forester,2015,2020,0,0,,,synthetic,low,
Subaru,Forester,2020,2021,1,1,,,synthetic,low,
Subaru,Forester,2020,2022,2,3,,,synthetic,low,
Subaru,Forester,2020,2023,3,3,,,synthetic,low,
Subaru,Forester,2020,2024,2,2,,,synthetic,low,
Subaru,Forester,2020,2025,1,1,,,synthetic,low,
Volkswagen,Jetta,2010,2011,0,0,,,synthetic,low,
Volkswagen,Jetta,2010,2012,2,2,,,synthetic,low,
Volkswagen,Jetta,2010,2013,4,5,,,synthetic,low,
Volkswagen,Jetta,2010,2014,0,0,,,synthetic,low,
Volkswagen,Jetta,2010,2015,1,1,,,synthetic,low,
Volkswagen,Jetta,2015,2016,1,1,,,synthetic,low,
Volkswagen,Jetta,2015,2017,1,1,,,synthetic,low,
Volkswagen,Jetta,2015,2018,3,4,,,synthetic,low,
Volkswagen,Jetta,2015,2019,0,0,,,synthetic,low,
Volkswagen,Jetta,2015,2020,2,3,,,synthetic,low,
Volkswagen,Jetta,2020,2021,4,5,,,synthetic,low,
Volkswagen,Jetta,2020,2022,3,3,,,synthetic,low,
Volkswagen,Jetta,2020,2023,1,1,,,synthetic,low,
Volkswagen,Jetta,2020,2024,2,3,,,synthetic,low,
Volkswagen,Jetta,2020,2025,2,2,,,synthetic,low,
Nissan,Altima,2010,2011,5,7,,,synthetic,low,
Nissan,Altima,2010,2012,6,8,,,synthetic,low,
Nissan,Altima,2010,2013,5,6,,,synthetic,low,
Nissan,Altima,2010,2014,8,10,,,synthetic,low,
Nissan,Altima,2010,2015,4,5,,,synthetic,low,
Nissan,Altima,2015,2016,5,5,,,synthetic,low,
Nissan,Altima,2015,2017,3,3,,,synthetic,low,
Nissan,Altima,2015,2018,5,7,,,synthetic,low,
Nissan,Altima,2015,2019,1,1,,,synthetic,low,
Nissan,Altima,2015,2020,2,2,,,synthetic,low,
Nissan,Altima,2020,2021,1,1,,,synthetic,low,
Nissan,Altima,2020,2022,7,9,,,synthetic,low,
Nissan,Altima,2020,2023,1,1,,,synthetic,low,
Nissan,Altima,2020,2024,2,2,,,synthetic,low,
Nissan,Altima,2020,2025,3,4,,,synthetic,low,
Nissan,Rogue,2015,2016,4,5,,,synthetic,low,
Nissan,Rogue,2015,2017,6,7,,,synthetic,low,
Nissan,Rogue,2015,2018,5,6,,,synthetic,low,
Nissan,Rogue,2015,2019,7,9,,,synthetic,low,
Nissan,Rogue,2015,2020,2,2,,,synthetic,low,
Nissan,Rogue,2020,2021,2,3,,,synthetic,low,
Nissan,Rogue,2020,2022,4,6,,,synthetic,low,
Nissan,Rogue,2020,2023,3,4,,,synthetic,low,
Nissan,Rogue,2020,2024,1,1,,,synthetic,low,
Nissan,Rogue,2020,2025,3,3,,,synthetic,low,
Dodge,Ram 1500,2005,2006,8,9,,,synthetic,low,
Dodge,Ram 1500,2005,2007,7,8,,,synthetic,low,
Dodge,Ram 1500,2005,2008,5,5,,,synthetic,low,
Dodge,Ram 1500,2005,2009,1,1,,,synthetic,low,
Dodge,Ram 1500,2005,2010,5,6,,,synthetic,low,
Dodge,Ram 1500,2010,2011,6,7,,,synthetic,low,
Dodge,Ram 1500,2010,2012,7,9,,,synthetic,low,
Dodge,Ram 1500,2010,2013,7,7,,,synthetic,low,
Dodge,Ram 1500,2010,2014,6,8,,,synthetic,low,
Dodge,Ram 1500,2010,2015,5,6,,,synthetic,low,
Ram,Ram 1500,2015,2016,4,5,,,synthetic,low,
Ram,Ram 1500,2015,2017,4,4,,,synthetic,low,
Ram,Ram 1500,2015,2018,7,10,,,synthetic,low,
Ram,Ram 1500,2015,2019,6,8,,,synthetic,low,
Ram,Ram 1500,2015,2020,7,7,,,synthetic,low,
Ram,Ram 1500,2020,2021,6,7,,,synthetic,low,
Ram,Ram 1500,2020,2022,8,9,,,synthetic,low,
Ram,Ram 1500,2020,2023,3,4,,,synthetic,low,
Ram,Ram 1500,2020,2024,6,7,,,synthetic,low,
Ram,Ram 1500,2020,2025,0,0,,,synthetic,low,
Hyundai,Elantra,2010,2011,0,0,,,synthetic,low,
Hyundai,Elantra,2010,2012,1,1,,,synthetic,low,
Hyundai,Elantra,2010,2013,1,1,,,synthetic,low,
Hyundai,Elantra,2010,2014,2,3,,,synthetic,low,
Hyundai,Elantra,2010,2015,1,1,,,synthetic,low,
Hyundai,Elantra,2015,2016,3,3,,,synthetic,low,
Hyundai,Elantra,2015,2017,2,2,,,synthetic,low,
Hyundai,Elantra,2015,2018,2,3,,,synthetic,low,
Hyundai,Elantra,2015,2019,6,8,,,synthetic,low,
Hyundai,Elantra,2015,2020,3,4,,,synthetic,low,
Hyundai,Elantra,2020,2021,3,4,,,synthetic,low,
Hyundai,Elantra,2020,2022,1,1,,,synthetic,low,
Hyundai,Elantra,2020,2023,2,3,,,synthetic,low,
Hyundai,Elantra,2020,2024,3,4,,,synthetic,low,
Hyundai,Elantra,2020,2025,0,0,,,synthetic,low,
Hyundai,Tucson,2015,2016,3,4,,,synthetic,low,
Hyundai,Tucson,2015,2017,2,2,,,synthetic,low,
Hyundai,Tucson,2015,2018,2,2,,,synthetic,low,
Hyundai,Tucson,2015,2019,2,3,,,synthetic,low,
Hyundai,Tucson,2015,2020,0,0,,,synthetic,low,
Hyundai,Tucson,2020,2021,0,0,,,synthetic,low,
Hyundai,Tucson,2020,2022,4,5,,,synthetic,low,
Hyundai,Tucson,2020,2023,2,2,,,synthetic,low,
Hyundai,Tucson,2020,2024,1,1,,,synthetic,low,
Hyundai,Tucson,2020,2025,2,2,,,synthetic,low,
Kia,Sportage,2015,2016,2,2,,,synthetic,low,
Kia,Sportage,2015,2017,1,1,,,synthetic,low,
Kia,Sportage,2015,2018,3,4,,,synthetic,low,
Kia,Sportage,2015,2019,1,1,,,synthetic,low,
Kia,Sportage,2015,2020,2,2,,,synthetic,low,
Kia,Sportage,2020,2021,2,2,,,synthetic,low,
Kia,Sportage,2020,2022,1,1,,,synthetic,low,
Kia,Sportage,2020,2023,1,1,,,synthetic,low,
Kia,Sportage,2020,2024,0,0,,,synthetic,low,
Kia,Sportage,2020,2025,1,1,,,synthetic,low,
Mazda,Mazda3,2010,2011,0,0,,,synthetic,low,
Mazda,Mazda3,2010,2012,1,1,,,synthetic,low,
Mazda,Mazda3,2010,2013,4,5,,,synthetic,low,
Mazda,Mazda3,2010,2014,1,1,,,synthetic,low,
Mazda,Mazda3,2010,2015,1,1,,,synthetic,low,
Mazda,Mazda3,2015,2016,2,3,,,synthetic,low,
Mazda,Mazda3,2015,2017,0,0,,,synthetic,low,
Mazda,Mazda3,2015,2018,2,3,,,synthetic,low,
Mazda,Mazda3,2015,2019,0,0,,,synthetic,low,
Mazda,Mazda3,2015,2020,0,0,,,synthetic,low,
Mazda,Mazda3,2020,2021,1,1,,,synthetic,low,
Mazda,Mazda3,2020,2022,1,1,,,synthetic,low,
Mazda,Mazda3,2020,2023,2,2,,,synthetic,low,
Mazda,Mazda3,2020,2024,2,3,,,synthetic,low,
Mazda,Mazda3,2020,2025,2,2,,,synthetic,low,
BMW,3 Series,2010,2011,0,0,,,synthetic,low,
BMW,3 Series,2010,2012,2,2,,,synthetic,low,
BMW,3 Series,2010,2013,3,4,,,synthetic,low,
BMW,3 Series,2010,2014,5,6,,,synthetic,low,
BMW,3 Series,2010,2015,1,1,,,synthetic,low,
BMW,3 Series,2015,2016,0,0,,,synthetic,low,
BMW,3 Series,2015,2017,2,3,,,synthetic,low,
BMW,3 Series,2015,2018,2,3,,,synthetic,low,
BMW,3 Series,2015,2019,2,3,,,synthetic,low,
BMW,3 Series,2015,2020,0,0,,,synthetic,low,
BMW,3 Series,2020,2021,1,1,,,synthetic,low,
BMW,3 Series,2020,2022,2,2,,,synthetic,low,
BMW,3 Series,2020,2023,0,0,,,synthetic,low,
BMW,3 Series,2020,2024,2,2,,,synthetic,low,
BMW,3 Series,2020,2025,1,1,,,synthetic,low,
Mercedes-Benz,C-Class,2010,2011,0,0,,,synthetic,low,
Mercedes-Benz,C-Class,2010,2012,1,1,,,synthetic,low,
Mercedes-Benz,C-Class,2010,2013,0,0,,,synthetic,low,
Mercedes-Benz,C-Class,2010,2014,2,2,,,synthetic,low,
Mercedes-Benz,C-Class,2010,2015,1,1,,,synthetic,low,
Mercedes-Benz,C-Class,2015,2016,3,4,,,synthetic,low,
Mercedes-Benz,C-Class,2015,2017,2,3,,,synthetic,low,
Mercedes-Benz,C-Class,2015,2018,4,5,,,synthetic,low,
Mercedes-Benz,C-Class,2015,2019,2,3,,,synthetic,low,
Mercedes-Benz,C-Class,2015,2020,2,2,,,synthetic,low,
Mercedes-Benz,C-Class,2020,2021,3,3,,,synthetic,low,
Mercedes-Benz,C-Class,2020,2022,1,1,,,synthetic,low,
Mercedes-Benz,C-Class,2020,2023,2,2,,,synthetic,low,
Mercedes-Benz,C-Class,2020,2024,2,2,,,synthetic,low,
Mercedes-Benz,C-Class,2020,2025,0,0,,,synthetic,low,
Audi,A4,2010,2011,0,0,,,synthetic,low,
Audi,A4,2010,2012,1,1,,,synthetic,low,
Audi,A4,2010,2013,0,0,,,synthetic,low,
Audi,A4,2010,2014,3,3,,,synthetic,low,
Audi,A4,2010,2015,1,1,,,synthetic,low,
Audi,A4,2015,2016,1,1,,,synthetic,low,
Audi,A4,2015,2017,2,3,,,synthetic,low,
Audi,A4,2015,2018,1,1,,,synthetic,low,
Audi,A4,2015,2019,2,3,,,synthetic,low,
Audi,A4,2015,2020,0,0,,,synthetic,low,
Audi,A4,2020,2021,2,3,,,synthetic,low,
Audi,A4,2020,2022,1,1,,,synthetic,low,
Audi,A4,2020,2023,0,0,,,synthetic,low,
Audi,A4,2020,2024,1,1,,,synthetic,low,
Audi,A4,2020,2025,1,1,,,synthetic,low,
Tesla,Model 3,2018,2019,6,8,,,synthetic,low,
Tesla,Model 3,2018,2020,1,1,,,synthetic,low,
Tesla,Model 3,2018,2021,3,4,,,synthetic,low,
Tesla,Model 3,2018,2022,1,1,,,synthetic,low,
Tesla,Model 3,2018,2023,1,1,,,synthetic,low,
Tesla,Model 3,2020,2021,3,3,,,synthetic,low,
Tesla,Model 3,2020,2022,0,0,,,synthetic,low,
Tesla,Model 3,2020,2023,2,2,,,synthetic,low,
Tesla,Model 3,2020,2024,1,1,,,synthetic,low,
Tesla,Model 3,2020,2025,2,2,,,synthetic,low,
Tesla,Model Y,2020,2021,0,0,,,synthetic,low,
